	hotel_name	city	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric
0	Sant Cugat	2	113	0	0	0	41.470749	2.085879	1023	78	91	85	82	73	85	88	81	84	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	1472.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	82.0	86.0	80.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
1	Hotel HCC Open	2	90	0	0	0	41.381699	2.1551	1305	73	85	79	79	71	79	83	79	83	77	1	1	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	84.0	80.0	82.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True
2	Sansi Diputacio	2	109	0	0	0	41.388302	2.1646	896	69	76	75	76	74	76	88	71	78	72	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	78.0	75.0	78.0	68.0	0.0	0.0	0.0	71.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True
3	Hotel Arts Barcelona	2	329	0	0	0	41.387001	2.1964	2626	75	91	91	85	82	89	89	90	89	77	0	0	0	0	1	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	92.0	95.0	92.0	92.0	0.0	0.0	0.0	94.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5	la Barceloneta	False	False	False
4	Medium Sitges Park	2	70	0	0	0	41.237034	1.81022	2271	74	86	79	80	74	83	92	78	82	78	1	0	0	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	82.0	75.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
5	Two Hotel Barcelona By Axel	2	119	0	0	0	41.379131	2.156119	1658	75	91	86	85	78	83	84	83	88	82	0	1	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Antoni	False	True	True
6	Campanile Barcelona	2	44	0	0	0	41.508354	2.141169	830	68	75	68	71	67	70	67	69	72	72	1	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	434.0	65.0	0.0	68.0	72.0	66.0	0.0	0.0	0.0	0.0	0.0	84.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
7	Campanile Cornellà	2	57	0	0	0	41.348305	2.082864	1844	64	82	79	77	79	81	72	78	80	78	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	80.0	77.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
8	Ayre Hotel Gran Vía	2	125	1	0	0	41.373302	2.147286	5913	73	89	85	83	78	85	90	82	89	83	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	84.0	0.0	88.0	92.0	88.0	0.0	100.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Montjuïc	False	False	False
9	Eurostars Barberà Parc	2	49	0	0	0	41.506802	2.136	1061	76	85	82	80	70	81	69	81	83	83	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	78.0	77.0	76.0	78.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
10	Dolce Sitges	2	103	0	0	0	41.229488	1.772921	2214	84	91	91	88	84	89	82	86	86	80	0	1	0	0	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	76.0	0.0	90.0	87.0	92.0	0.0	91.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	outskirt	False	False	False
11	Duquesa de Cardona	2	220	0	0	0	41.379799	2.1804	2193	78	92	88	86	80	89	94	86	91	82	1	0	1	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	317.0	0.0	0.0	0.0	90.0	93.0	90.0	0.0	88.0	0.0	0.0	91.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Gòtic	False	True	True
12	Vincci Gala	2	198	0	0	0	41.389526	2.174714	3457	78	93	89	84	83	90	93	86	89	84	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True
13	Front Maritim Barcelona	2	108	0	0	0	41.404099	2.2139	2325	71	81	74	74	76	80	78	72	78	73	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	78.0	72.0	72.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Marítim del Poblenou	False	False	False
14	Sidorme Viladecans	2	62	0	0	0	41.310223	2.027357	915	0	87	83	80	65	83	79	79	82	84	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	73.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
15	Hotel Subur	2	45	0	0	0	41.234848	1.806409	1227	73	77	68	68	71	70	92	66	76	73	1	0	0	1	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	68.0	0.0	72.0	73.0	74.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
16	La Santa María	2	65	0	0	1	41.234516	1.806119	1124	80	80	76	73	76	74	93	72	77	75	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	78.0	85.0	78.0	0.0	0.0	0.0	0.0	53.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
17	SB Bcn Events	2	72	0	0	0	41.2812	1.9895	3227	0	84	82	82	74	80	73	79	79	81	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	81.0	0.0	80.0	82.0	80.0	0.0	0.0	0.0	0.0	73.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
18	Hotel Calipolis	2	112	0	0	0	41.234104	1.804421	1141	79	84	79	77	81	81	93	76	79	70	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	82.0	83.0	84.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
19	Palou	2	63	0	0	0	41.262741	1.778341	218	0	94	90	87	0	83	84	81	93	88	0	1	1	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	100.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
20	Silken Diagonal Barcelona	2	105	1	0	0	41.404026	2.190373	5269	79	85	81	80	77	83	80	82	82	78	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	82.0	0.0	84.0	87.0	82.0	0.0	88.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False
21	Vincci Bit	2	115	1	0	0	41.411663	2.211892	2584	78	91	89	84	74	88	78	88	86	85	1	1	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	85.0	0.0	86.0	85.0	88.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
22	Novotel Barcelona City	2	116	0	0	0	41.403931	2.191166	2719	78	88	84	84	78	86	83	83	85	80	0	0	1	0	1	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	86.0	0.0	86.0	87.0	86.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False
23	Eurostars Grand Marina	2	218	0	0	0	41.371799	2.1809	6231	79	90	87	84	83	84	86	86	87	77	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	317.0	0.0	0.0	0.0	88.0	87.0	86.0	0.0	81.0	0.0	0.0	91.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Raval	False	True	True
24	Porta Fira	2	153	0	0	0	41.354939	2.125297	2940	74	91	90	85	82	90	78	88	88	85	1	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	86.0	0.0	88.0	90.0	88.0	0.0	100.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
25	BlueBay City Barcelona Sant Cugat	2	66	0	0	0	41.499531	2.073294	743	75	87	84	79	77	83	73	79	83	80	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	78.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False
26	U232	2	72	0	0	0	41.389198	2.1489	2565	80	91	88	84	79	89	84	87	89	85	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	87.0	0.0	88.0	83.0	88.0	0.0	0.0	0.0	0.0	83.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True
27	Eurostars Anglí	2	54	1	0	0	41.403198	2.1232	1252	71	82	83	82	76	79	76	82	85	81	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	83.0	0.0	82.0	70.0	78.0	0.0	0.0	0.0	0.0	84.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	Sarrià	False	False	False
28	Salles Hotel Pere IV	2	105	1	0	0	41.3969	2.1924	5294	73	84	79	77	75	80	68	80	83	76	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	80.0	77.0	80.0	0.0	0.0	0.0	0.0	79.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False
29	Eurostars Lex	2	94	0	0	0	41.365517	2.130544	1544	76	85	83	79	71	81	74	83	85	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	82.0	25.0	80.0	0.0	0.0	0.0	0.0	66.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
30	Salles Hotel Ciutat del Prat	2	90	0	0	0	41.325001	2.087401	3230	78	86	82	80	73	83	77	79	81	79	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	78.0	77.0	80.0	0.0	0.0	0.0	0.0	79.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
31	Luna	2	45	0	0	0	41.267532	1.973312	238	0	80	73	73	77	71	83	80	84	77	1	0	0	0	0	1	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	52.0	67.0	66.0	0.0	0.0	0.0	0.0	90.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False
32	Expo Hotel Barcelona	2	89	1	0	0	41.379173	2.142888	6620	77	79	71	73	74	72	83	68	80	73	1	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	73.0	0.0	78.0	77.0	76.0	0.0	0.0	0.0	0.0	78.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	Hostafrancs	False	False	False
33	Hesperia Presidente	2	98	0	0	0	41.394199	2.1492	1735	83	89	86	81	77	85	85	83	86	82	0	1	1	0	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	87.0	0.0	88.0	85.0	84.0	0.0	0.0	0.0	0.0	83.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Galvany	False	True	False
34	NH Barcelona Les Corts	2	100	1	0	0	41.387501	2.1366	1333	72	83	78	76	70	77	79	75	79	75	0	0	1	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	74.0	0.0	78.0	80.0	78.0	0.0	0.0	0.0	0.0	74.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Carrer de Nicaragua	False	False	False
35	Mare Nostrum	2	94	0	0	1	41.375237	2.167661	2036	76	85	74	78	77	79	95	72	85	82	1	0	0	1	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	67.0	0.0	82.0	82.0	82.0	0.0	0.0	0.0	0.0	76.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4	el Raval	False	True	True
36	Aqua Montagut	2	48	0	0	0	41.636002	2.7231	1621	78	85	80	79	78	82	79	84	87	82	1	0	0	0	1	0	0	0	0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	83.0	0.0	82.0	78.0	82.0	0.0	0.0	0.0	0.0	85.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5	outskirt	False	False	False
37	Gran Hotel Rey Don Jaime	2	59	0	0	0	41.270058	1.961275	2263	78	83	79	81	83	78	78	77	78	78	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	79.0	0.0	78.0	87.0	80.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
38	TRYP Barcelona Aeropuerto	2	100	0	0	0	41.31218	2.068257	1674	73	82	78	73	73	81	78	79	81	73	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	76.0	80.0	76.0	0.0	0.0	0.0	0.0	88.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
39	NH Barcelona Diagonal Center	2	110	1	0	0	41.398014	2.192306	1658	70	84	80	76	79	81	69	80	83	78	0	0	1	0	0	1	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	78.0	77.0	80.0	0.0	0.0	0.0	0.0	75.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False
40	Solifemar	2	50	0	0	0	41.265484	1.994614	43	0	86	79	79	80	0	89	81	85	83	1	0	0	1	0	1	0	0	0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	outskirt	False	False	False
41	Aparthotel Attica 21 Vallés	2	49	0	0	0	41.555382	2.075321	1851	74	84	85	81	69	82	73	82	83	84	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	78.0	0.0	84.0	75.0	84.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	outskirt	False	False	False
42	Ricard	2	55	0	0	1	41.214764	1.733196	116	0	84	79	76	0	0	86	80	83	82	0	0	0	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
