	hotel_name	city_int	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric	city_name	email	phone	postal_code	star_count	street	type	web
10	Front Maritim Barcelona	2	108.0	0	0	0	41.404099	2.2139	2325	71	81	74	74	76	80	78	72	78	73	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	78.0	72.0	72.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Maritim del Poblenou	False	False	False	Barcelona	frontmaritim@besthotels.es	+34(93)3034440	08019	4	Passeig Garcia Faria 69-71	[u'Hotel']	http://www.hotelfrontmaritim.com
11	Sidorme Viladecans	2	62.0	0	0	0	41.310223	2.027357	915	0	87	83	80	65	83	79	79	82	84	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	73.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	hotel.viladecans@sidorme.com	+34(93)2993658	08840	3	Avinguda Olof Palme, 24	[u'Hotel']	http://www.sidorme.com/en/hotels/hotel-viladecans/
12	Hotel Subur	2	45.0	0	0	0	41.234848	1.806409	1227	73	77	68	68	71	70	92	66	76	73	1	0	0	1	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	68.0	0.0	72.0	73.0	74.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@hotelsubur.com	+34(93)8940066	08870	3	Paseo de la Ribera sin numero	[u'Hotel']	http://www.hotelsubur.com
13	SB Bcn Events	2	72.0	0	0	0	41.2812	1.9895	3227	0	84	82	82	74	80	73	79	79	81	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	81.0	0.0	80.0	82.0	80.0	0.0	0.0	0.0	0.0	73.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	reservasbcnevents@sbgrup.com	+34(93)6646230	08860	4	Ronda de Can Rabada, 22-24	[u'Hotel']	http://www.hotelbcnevents.com
14	Hotel Calipolis	2	112.0	0	0	0	41.234104	1.804421	1141	79	84	79	77	81	81	93	76	79	70	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	82.0	83.0	84.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	Info@hotelcalipolis.com	+34(93)8941500	08870	4	Av. Sofia, 2-6	[u'Hotel']	http://www.hotelcalipolis.com
15	Palou	2	63.0	0	0	0	41.262741	1.778341	218	0	94	90	87	0	83	84	81	93	88	0	1	1	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	100.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@hotelpalou.com	+34(93)8960595 	08810	3	Calle Palou, 15-17	[u'Hotel']	http://www.palouhotel.com
16	Silken Diagonal Barcelona	2	105.0	1	0	0	41.404026	2.190373	5269	79	85	81	80	77	83	80	82	82	78	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	82.0	0.0	84.0	87.0	82.0	0.0	88.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False	Barcelona	reservas.diagonal@hoteles-silken.com	+34(93)4895300	08018	4	Avenida Diagonal 205	[u'Hotel']	http://www.hoteldiagonalbarcelona.com
17	Vincci Bit	2	115.0	1	0	0	41.411663	2.211892	2584	78	91	89	84	74	88	78	88	86	85	1	1	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	85.0	0.0	86.0	85.0	88.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Maritim del Poblenou	False	False	False	Barcelona	bit@vinccihoteles.com	+34(93)1657420 	08019	4	Josep Pla, 69	[u'Hotel']	http://www.vinccihoteles.com/Hoteles/Espana/Barcelona/Vincci-Bit
18	Novotel Barcelona City	2	116.0	0	0	0	41.403931	2.191166	2719	78	88	84	84	78	86	83	83	85	80	0	0	1	0	1	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	86.0	0.0	86.0	87.0	86.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False	Barcelona	h5560@accor.com	+34(91)3827970 	08018	4	Avenida Diagonal 199	[u'Hotel']	http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5560&sourceid=fh-nov-b1-5560&merchantid=par-triv-&xtor=al-171-[trivago]-[zz]-[0]-[nov]-[0]
19	Eurostars Grand Marina	2	218.0	0	0	0	41.371799	2.1809	6231	79	90	87	84	83	84	86	86	87	77	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	317.0	0.0	0.0	0.0	88.0	87.0	86.0	0.0	81.0	0.0	0.0	91.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Raval	False	True	True	Barcelona	reservas@grandmarinahotel.com	+34(93)6039000	08039	5	Moll de Barcelona s/n	[u'Hotel']	http://www.grandmarinahotel.com/
20	Porta Fira	2	153.0	0	0	0	41.354939	2.125297	2940	74	91	90	85	82	90	78	88	88	85	1	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	86.0	0.0	88.0	90.0	88.0	0.0	100.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	reservasportafira@h-santos.es	+34(902)656186 	08908	4	Plaza Europa, 45	[u'Hotel']	http://www.hotelbarcelonaportafira.com
21	BlueBay City Barcelona Sant Cugat	2	66.0	0	0	0	41.499531	2.073294	743	75	87	84	79	77	83	73	79	83	80	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	78.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False	Barcelona	booking@grupobluebay.com	+34(93)2752086	08174	3	Cami de Can Camps 15-17	[u'Hotel']	http://www.bluebayresorts.com/es/hotel-bluebay-city-barcelona-san-cugat.html
22	U232	2	72.0	0	0	0	41.389198	2.1489	2565	80	91	88	84	79	89	84	87	89	85	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	87.0	0.0	88.0	83.0	88.0	0.0	0.0	0.0	0.0	83.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True	Barcelona	u232hotel@nnhotels.com	+34(93)3224153	08036	4	Comte D Urgell, 232	[u'Hotel']	http://www.u232hotel.com/
23	Salles Hotel Pere IV	2	105.0	1	0	0	41.3969	2.1924	5294	73	84	79	77	75	80	68	80	83	76	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	80.0	77.0	80.0	0.0	0.0	0.0	0.0	79.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Parc i la Llacuna del Poblenou	False	True	False	Barcelona	hoteles@salleshotels.com	+34(93)3209650	08018	4	Calle Pallars, 128-130	[u'Hotel']	http://www.salleshotels.com/es/seccion/59/salles-hotel-pere-iv.html
24	Eurostars Lex	2	94.0	0	0	0	41.365517	2.130544	1544	76	85	83	79	71	81	74	83	85	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	82.0	25.0	80.0	0.0	0.0	0.0	0.0	66.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	reservas@eurostarslex.com	+34(93)3318679	08902	4	C/Buenos Aires 49-51	[u'Hotel']	http://www.eurostarshotels.com/eurostars-lex.html
25	Salles Hotel Ciutat del Prat	2	90.0	0	0	0	41.325001	2.087401	3230	78	86	82	80	73	83	77	79	81	79	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	78.0	77.0	80.0	0.0	0.0	0.0	0.0	79.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	hotelcdp@salleshotels.com	+34(93)3788333	08820	4	Avinguda Remolar 46	[u'Hotel']	http://www.salleshotels.es
26	Luna	2	45.0	0	0	0	41.267532	1.973312	238	0	80	73	73	77	71	83	80	84	77	1	0	0	0	0	1	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	52.0	67.0	66.0	0.0	0.0	0.0	0.0	90.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False	Barcelona	hotluna@teleline.es	+34(93)6652150	08860	3	Paseo Marina, 153-155	[u'Hotel']	http://www.cms.es/luna-neptuno/luna/cabezera.htm
27	Expo Hotel Barcelona	2	89.0	1	0	0	41.379173	2.142888	6620	77	79	71	73	74	72	83	68	80	73	1	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	73.0	0.0	78.0	77.0	76.0	0.0	0.0	0.0	0.0	78.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	Hostafrancs	False	False	False	Barcelona	ehbreservas@expogrupo.com	+34(93)600 69 67	08014	4	Mallorca, 1-23	[u'Hotel']	https://www.expohotels.com/en/hotels/expo-hotel-barcelona/?utm_source=trivago&utm_medium=metasearch&utm_campaign=2016EHB_NOTICIASPRO&utm_content=sitioweb
28	Hesperia Presidente	2	98.0	0	0	0	41.394199	2.1492	1735	83	89	86	81	77	85	85	83	86	82	0	1	1	0	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	87.0	0.0	88.0	85.0	84.0	0.0	0.0	0.0	0.0	83.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Gervasi - Galvany	False	True	False	Barcelona	hhpresidente@nh-hotels.com	+34(93)2002111	08021	4	Avenida Diagonal 570	[u'Hotel']	http://www.nh-hotels.com/hotel/hesperia-presidente
29	NH Barcelona Les Corts	2	100.0	1	0	0	41.387501	2.1366	1333	72	83	78	76	70	77	79	75	79	75	0	0	1	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	74.0	0.0	78.0	80.0	78.0	0.0	0.0	0.0	0.0	74.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	les Corts	False	False	False	Barcelona	info@hotelnhlescorts.com	+34(93)3220811	08029	3	Travessera De Les Corts, 292	[u'Hotel']	http://www.nh-hotels.com/hotel/nh-barcelona-les-corts
30	Mare Nostrum	2	94.0	0	0	1	41.375237	2.167661	2036	76	85	74	78	77	79	95	72	85	82	1	0	0	1	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	67.0	0.0	82.0	82.0	82.0	0.0	0.0	0.0	0.0	76.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4	el Raval	False	True	True	Barcelona	hostal@hostalmarenostrum.com	+34(93)3185340	08001	0	Sant Pau, 2	[u'Hostal']	http://r.myhotelshop.de/redirect.php?placement=101&targetUrl=http%3A%2F%2Fwww.hostalmarenostrum.com%2Fesp%2Fhostal-barcelona-centro%2F&reportingId=119955919358105c7628b3c6.49097762&kid=8071
31	Aqua Montagut	2	48.0	0	0	0	41.636002	2.7231	1621	78	85	80	79	78	82	79	84	87	82	1	0	0	0	1	0	0	0	0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	83.0	0.0	82.0	78.0	82.0	0.0	0.0	0.0	0.0	85.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5	outskirt	False	False	False	Barcelona	montagut@aquahotel.com	+34(93)7679128	08398	4	 Torrento de Can Gelat, s/n	[u'Hotel']	http://www.aquahotel.com
